"1";"retn";"dri, dead ringer, l(2)02535, Dead Ringer/Retain";"ARID-TF";"7227"
"2";"ac";"Hw, T5, AS-C T5, EG:125H10.3, achaete-scute";"BHLH";"7227"
"3";"amos";"Tft, Roi";"BHLH";"7227"
"4";"ase";"T1a, EG:165H7.2, T8, AS-C T8";"BHLH";"7227"
"5";"ato";"-";"BHLH";"7227"
"6";"bigmax";"mlx";"BHLH";"7227"
"7";"cato";"-";"BHLH";"7227"
"8";"CG33557";"-";"BHLH";"7227"
"9";"Clk";"dClk, dClock, Jrk";"BHLH";"7227"
"10";"crp";"dAP-4, l(2)35Fd, BG:DS02740.3, AP-4";"BHLH";"7227"
"11";"cwo";"-";"BHLH";"7227"
"12";"cyc";"dbmal1, Bmal1, dCYC";"BHLH";"7227"
"13";"da";"-";"BHLH";"7227"
"14";"dimm";"Mistr, c929";"BHLH";"7227"
"15";"dpn";"44C";"BHLH";"7227"
"16";"dysf";"dys, cranky, dNXFL";"BHLH";"7227"
"17";"E(spl)m3-HLH";"m3, E(spl)m3, HLHm3, E(spl)C m3, E(spl)-m3";"BHLH";"7227"
"18";"E(spl)m5-HLH";"m5, E(spl)m5, HLHm5, HLH-m5, E(spl) region transcript m5";"BHLH";"7227"
"19";"E(spl)m7-HLH";"m7, E(spl)m7, HLHm7, E(spl) region transcript m7, E(spl)-m7";"BHLH";"7227"
"20";"E(spl)m8-HLH";"m8, E(spl)m8, E(spl), Enhancer of split, E(spl)-m8";"BHLH";"7227"
"21";"E(spl)mβ-HLH";"E(spl)mβ, mβ, HLHmβ, HLHmbeta, E(spl)mbeta";"BHLH";"7227"
"22";"E(spl)mδ-HLH";"mδ, E(spl)mδ, HLHmdelta, HLHmδ, E(spl)mdelta";"BHLH";"7227"
"23";"E(spl)mγ-HLH";"mγ, E(spl)mγ, HLHmγ, HLHmgamma, E(spl) region transcript mγ";"BHLH";"7227"
"24";"emc";"ms(3)61CD, l(3)05592, extramacrochaete, gov, Ach";"BHLH";"7227"
"25";"Fer1";"-";"BHLH";"7227"
"26";"Fer2";"-";"BHLH";"7227"
"27";"Fer3";"nephew of atonal 3";"BHLH";"7227"
"28";"gce";"germ-cell expressed, Germ cell-expressed";"BHLH";"7227"
"29";"h";"l(3)08247";"BHLH";"7227"
"30";"Hand";"dHand, hand-C";"BHLH";"7227"
"31";"Hesr";"Her";"BHLH";"7227"
"32";"Hey";"Hesr-1";"BHLH";"7227"
"33";"HLH3B";"EG:155E2.2";"BHLH";"7227"
"34";"HLH4C";"-";"BHLH";"7227"
"35";"HLH54F";"bHLH54F";"BHLH";"7227"
"36";"kn";"col, collier, knotted, collier/knot";"BHLH";"7227"
"37";"l(1)sc";"l'sc, T3, AS-C T3, lsc, EG:198A6.2";"BHLH";"7227"
"38";"Max";"dMax";"BHLH";"7227"
"39";"Met";"Rst(1)JH, Resistance to Juvenile Hormone, DmMet";"BHLH";"7227"
"40";"Mitf";"TFEB";"BHLH";"7227"
"41";"Mnt";"dMnt, dMad, Mad, Mad-3E, EG:114E2.2";"BHLH";"7227"
"42";"Mondo";"Mio, ChREBP, Mlx interactor";"BHLH";"7227"
"43";"Myc";"dMyc, dm, diminutive, d-myc, dmyc1";"BHLH";"7227"
"44";"nau";"MyoD, Dmyd";"BHLH";"7227"
"45";"net";"-";"BHLH";"7227"
"46";"Oli";"Doli";"BHLH";"7227"
"47";"sage";"-";"BHLH";"7227"
"48";"sc";"sis-b, sisB, T4, Hw, DROACS2";"BHLH";"7227"
"49";"Sidpn";"Side";"BHLH";"7227"
"50";"sim";"S8, l(3)S8, shm";"BHLH";"7227"
"51";"sima";"HIF-1α, l(3)j11B7, HIF-1, HIF1A, Hif1α";"BHLH";"7227"
"52";"SREBP";"dSREBP, HLH106, l(3)76BDw, SREBF1, Helix loop helix protein 106";"BHLH";"7227"
"53";"ss";"aristapedia";"BHLH";"7227"
"54";"tai";"l(2)01351, l(2)k05809, DAIB1, l(2)k05802";"BHLH";"7227"
"55";"tap";"biparous, bps";"BHLH";"7227"
"56";"tgo";"dARNT, ARNT, jaywalker, HIF-1";"BHLH";"7227"
"57";"trh";"l(3)10512";"BHLH";"7227"
"58";"twi";"-";"BHLH";"7227"
"59";"tx";"dei, delilah, del";"BHLH";"7227"
"60";"Usf";"dUSF";"BHLH";"7227"
"61";"Atf-2";"ATF2, dATF-2, dATF2";"BZIP";"7227"
"62";"Atf3";"A3-3, EG:33C11.1, dATF3";"BZIP";"7227"
"63";"Atf6";"-";"BZIP";"7227"
"64";"CG7786";"-";"BZIP";"7227"
"65";"cnc";"Nrf2, CncC, cap and collar, Cap 'n' collar, l(3)03921";"BZIP";"7227"
"66";"crc";"ATF4, l(2)crc, dATF4, ATF-4";"BZIP";"7227"
"67";"CrebA";"dCREB-A, CREB, BBF-2, dCREBA, Creb-A";"BZIP";"7227"
"68";"CrebB";"dCREB2, CREB, CrebB-17A, dCREB2-b, dCREB2-a";"BZIP";"7227"
"69";"gt";"EG:BACH7M4.5";"BZIP";"7227"
"70";"Irbp18";"-";"BZIP";"7227"
"71";"Jra";"jun, Djun, D-Jun, AP-1, c-Jun";"BZIP";"7227"
"72";"kay";"Fos, Dfos, AP-1, D-Fos, AP1";"BZIP";"7227"
"73";"maf-S";"maf2";"BZIP";"7227"
"74";"Pdp1";"Pdp1ε, pdp, Pdp-1, Pdp1e, Par domain protein 1ε";"BZIP";"7227"
"75";"REPTOR";"-";"BZIP";"7227"
"76";"REPTOR-BP";"-";"BZIP";"7227"
"77";"sisA";"sis-a, sis a";"BZIP";"7227"
"78";"slbo";"C/EBP, DmC/EBP, slobo";"BZIP";"7227"
"79";"tj";"maf1";"BZIP";"7227"
"80";"vri";"jf23";"BZIP";"7227"
"81";"Xbp1";"l(2)k13803, xbp-1";"BZIP";"7227"
"82";"ab";"clu, clueless";"ZF-C2H2";"7227"
"83";"Aef1";"AEF-1";"ZF-C2H2";"7227"
"84";"Asciz";"dASCIZ";"ZF-C2H2";"7227"
"85";"ATbp";"-";"ZF-C2H2";"7227"
"86";"az2";"-";"ZF-C2H2";"7227"
"87";"Blimp-1";"dBlimp-1, dBlimp1";"ZF-C2H2";"7227"
"88";"bowl";"bowel, Su(tor)2-1";"ZF-C2H2";"7227"
"89";"br";"BR-C, Broad Complex, ecs, rbp, npr1";"ZF-C2H2";"7227"
"90";"Br140";"-";"ZF-C2H2";"7227"
"91";"btd";"-";"ZF-C2H2";"7227"
"92";"BuGZ";"lincRNA.S1359, Dm_2L:87597";"ZF-C2H2";"7227"
"93";"cas";"ming, l(3)neo33";"ZF-C2H2";"7227"
"94";"cbt";"EP2237, dTIEG";"ZF-C2H2";"7227"
"95";"Cf2";"-";"ZF-C2H2";"7227"
"96";"cg";"mig, l(2)07659";"ZF-C2H2";"7227"
